pcnose_host_time_utc,pcnose_elapsed_s,pcnose_device_time_s,pcnose_therm1_volts,pcnose_battery_raw,pcnose_flag,pcnose_sd_field1_hex,pcnose_sd_field2_hex,pcnose_sensor_mask_hex,pcnose_active_sensor_count,pcnose_S1_kohm,pcnose_S2_kohm,pcnose_S3_kohm,pcnose_S4_kohm,pcnose_S5_kohm,pcnose_S6_kohm,pcnose_S7_kohm,pcnose_S8_kohm,pcnose_S9_kohm,pcnose_S10_kohm,pcnose_S11_kohm,pcnose_S12_kohm,pcnose_S13_kohm,pcnose_S14_kohm,pcnose_S15_kohm,pcnose_S16_kohm,pcnose_S17_kohm,pcnose_S18_kohm,pcnose_S19_kohm,pcnose_S20_kohm,pcnose_S21_kohm,pcnose_S22_kohm,pcnose_S23_kohm,pcnose_S24_kohm,pcnose_S25_kohm,pcnose_S26_kohm,pcnose_S27_kohm,pcnose_S28_kohm,pcnose_S29_kohm,pcnose_S30_kohm,pcnose_S31_kohm,pcnose_S32_kohm,pcnose_raw_frame,pcnose_sample_time_estimate_utc,pcnose_timestamp_basis,pcnose_serial_roundtrip_ms,pose_alignment_valid,pose_alignment_status,pose_minus_pcnose_ms,abs_pose_minus_pcnose_ms,pose_host_timestamp_utc,pose_elapsed_s,camera_timestamp_ms,frame_number,tag_0_visible,tag_0_rms_px,tag_0_cam_x_cm,tag_0_cam_y_cm,tag_0_cam_z_cm,tag_0_cam_rvec_x_rad,tag_0_cam_rvec_y_rad,tag_0_cam_rvec_z_rad,tag_0_desk_x_cm,tag_0_desk_y_cm,tag_0_desk_z_cm,tag_0_desk_rvec_x_rad,tag_0_desk_rvec_y_rad,tag_0_desk_rvec_z_rad,tag_1_visible,tag_1_rms_px,tag_1_cam_x_cm,tag_1_cam_y_cm,tag_1_cam_z_cm,tag_1_cam_rvec_x_rad,tag_1_cam_rvec_y_rad,tag_1_cam_rvec_z_rad,tag_1_desk_x_cm,tag_1_desk_y_cm,tag_1_desk_z_cm,tag_1_desk_rvec_x_rad,tag_1_desk_rvec_y_rad,tag_1_desk_rvec_z_rad,tag_2_visible,tag_2_rms_px,tag_2_cam_x_cm,tag_2_cam_y_cm,tag_2_cam_z_cm,tag_2_cam_rvec_x_rad,tag_2_cam_rvec_y_rad,tag_2_cam_rvec_z_rad,tag_2_desk_x_cm,tag_2_desk_y_cm,tag_2_desk_z_cm,tag_2_desk_rvec_x_rad,tag_2_desk_rvec_y_rad,tag_2_desk_rvec_z_rad,tag_3_visible,tag_3_rms_px,tag_3_cam_x_cm,tag_3_cam_y_cm,tag_3_cam_z_cm,tag_3_cam_rvec_x_rad,tag_3_cam_rvec_y_rad,tag_3_cam_rvec_z_rad,tag_3_desk_x_cm,tag_3_desk_y_cm,tag_3_desk_z_cm,tag_3_desk_rvec_x_rad,tag_3_desk_rvec_y_rad,tag_3_desk_rvec_z_rad,tag_4_visible,tag_4_rms_px,tag_4_cam_x_cm,tag_4_cam_y_cm,tag_4_cam_z_cm,tag_4_cam_rvec_x_rad,tag_4_cam_rvec_y_rad,tag_4_cam_rvec_z_rad,tag_4_desk_x_cm,tag_4_desk_y_cm,tag_4_desk_z_cm,tag_4_desk_rvec_x_rad,tag_4_desk_rvec_y_rad,tag_4_desk_rvec_z_rad,tag_5_visible,tag_5_rms_px,tag_5_cam_x_cm,tag_5_cam_y_cm,tag_5_cam_z_cm,tag_5_cam_rvec_x_rad,tag_5_cam_rvec_y_rad,tag_5_cam_rvec_z_rad,tag_5_desk_x_cm,tag_5_desk_y_cm,tag_5_desk_z_cm,tag_5_desk_rvec_x_rad,tag_5_desk_rvec_y_rad,tag_5_desk_rvec_z_rad,tag_6_visible,tag_6_rms_px,tag_6_cam_x_cm,tag_6_cam_y_cm,tag_6_cam_z_cm,tag_6_cam_rvec_x_rad,tag_6_cam_rvec_y_rad,tag_6_cam_rvec_z_rad,tag_6_desk_x_cm,tag_6_desk_y_cm,tag_6_desk_z_cm,tag_6_desk_rvec_x_rad,tag_6_desk_rvec_y_rad,tag_6_desk_rvec_z_rad,cube_pose_valid,cube_used_tag_ids,cube_rms_px,cube_cam_x_cm,cube_cam_y_cm,cube_cam_z_cm,cube_cam_rvec_x_rad,cube_cam_rvec_y_rad,cube_cam_rvec_z_rad,cube_desk_x_cm,cube_desk_y_cm,cube_desk_z_cm,cube_desk_rvec_x_rad,cube_desk_rvec_y_rad,cube_desk_rvec_z_rad,snout_position_valid,snout_cam_x_cm,snout_cam_y_cm,snout_cam_z_cm,snout_desk_x_cm,snout_desk_y_cm,snout_desk_z_cm
2026-07-27T22:42:54.078+00:00,0.000000,107755.600000,1.217330,4095,0,02,00,FFFFFFFF,32,2.93505484,3.05076302,2.20744862,1.35143123,1.10120372,0.48062388,2.20789023,1.19100715,1.04590846,1.49778884,2.20531552,0.88915850,1.00883385,0.95846424,2.20500427,0.63919709,1.98345155,0.97747619,2.20477717,1.00459283,0.76633992,0.81050500,2.20723600,1.17488712,1.81893841,1.36171731,2.20766020,1.14385278,1.06300003,0.80820238,2.20799077,0.71034025,SD 02 00 FFFFFFFF 9209C1 9474E8 7FED13 61247C 55233E 2DBAA4 7FF05A 59A637 523C64 6769C1 7FDD3C 49727D 503C07 4D70B8 7FDAEC 396E89 7915BB 4E815E 7FD93C 5000AA 41EA08 44B18E 7FEB7F 58DB68 73936F 61999A 7FEEA5 574F78 5324AF 448CF9 7FF119 3E44E7 7CA796 000FFF 00 107134,2026-07-27T22:42:54.038+00:00,serial_request_midpoint,79.0305,True,matched,46.83055,46.83055,2026-07-27T22:42:54.085+00:00,0.134258,1785192174029.685,7,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.06460014900523553,10.166807197924376,9.40476161022378,76.42152090923123,0.20590134377626557,0.0032199652571400224,-3.0340931137921228,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:54.347+00:00,1.200000,107756.800000,1.217330,4095,0,02,00,FFFFFFFF,32,2.93498702,3.05045552,2.20764441,1.35141788,1.10117622,0.48061920,2.20563206,1.19105364,1.04592876,1.49780070,2.20697027,0.88917741,1.00881373,0.95846505,2.20524085,0.63918833,1.98343638,0.97745509,2.20474984,1.00461262,0.76633251,0.81049467,2.20725179,1.17493502,1.81891871,1.36171387,2.20756756,1.14385005,1.06295294,0.80816135,2.20754651,0.71032484,SD 02 00 FFFFFFFF 920962 94734C 7FEE87 612455 5522E1 2DBA8C 7FDF96 59A6CC 523CAB 6769E1 7FE986 4972C6 503BBF 4D70BB 7FDCAE 396E61 79159B 4E8111 7FD908 5000F1 41E9E9 44B164 7FEB9D 58DC03 739342 619990 7FEDF5 574F6F 53240C 448C52 7FEDCD 3E44A4 7CA796 000FFF 00 107140,2026-07-27T22:42:54.313+00:00,serial_request_midpoint,69.5064,True,matched,-12.8522,12.8522,2026-07-27T22:42:54.300+00:00,0.349042,1785192174231.366,13,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.03938828793671425,10.177485364501273,9.410194137927634,76.4784892722911,0.20513228622285756,-0.0002112276879022873,-3.034660392804138,0.0,-1.4210854715202005e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:54.714+00:00,1.700000,107757.300000,1.216720,4095,0,02,00,FFFFFFFF,32,2.93500201,3.05050925,2.20726179,1.35141549,1.10120076,0.48061041,2.20740652,1.19100185,1.04589330,1.49777623,2.20525452,0.88917844,1.00881932,0.95848021,2.20728600,0.63918483,1.98334200,0.97747838,2.20752862,1.00461151,0.76633036,0.81050722,2.20768283,1.17493533,1.81889201,1.36175275,2.20532708,1.14387765,1.06296738,0.80817265,2.20499270,0.71031840,SD 02 00 FFFFFFFF 920977 947394 7FEBB0 61244E 552334 2DBA5F 7FECC3 59A626 523C2F 67699F 7FDCC8 4972CA 503BD3 4D70F3 7FEBDE 396E51 7914D4 4E8166 7FEDAB 5000ED 41E9E0 44B197 7FEED0 58DC04 739305 619A01 7FDD52 574FCA 53243E 448C80 7FDAD6 3E4488 7C9796 000FFF 00 107145,2026-07-27T22:42:54.631+00:00,serial_request_midpoint,166.19,True,matched,-22.1481,22.1481,2026-07-27T22:42:54.609+00:00,0.657788,1785192174533.015,22,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.009655774906321682,10.17640101053078,9.40930175554885,76.46433092110908,0.20584004732160047,0.0033100857111189896,-3.0354971103202923,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:55.271+00:00,2.900000,107758.500000,1.219161,4095,0,02,00,FFFFFFFF,32,2.93500344,3.05042939,2.20703078,1.35141788,1.10121703,0.48061334,2.20761072,1.19104085,1.04589645,1.49777215,2.20757967,0.88916964,1.00882715,0.95847480,2.20779232,0.63917760,1.98338563,0.97745810,2.20522561,1.00457137,0.76635162,0.81051657,2.20727916,1.17493935,1.81886048,1.36167809,2.20724969,1.14388615,1.06296941,0.80816331,2.20500742,0.71032323,SD 02 00 FFFFFFFF 920979 947329 7FE9F9 612455 55236B 2DBA6E 7FEE47 59A6A3 523C3A 676994 7FEE0C 4972A8 503BEF 4D70DF 7FEFA0 396E30 791530 4E811C 7FDC91 50005D 41EA39 44B1BD 7FEBD1 58DC11 7392BD 619928 7FEB99 574FE6 532445 448C5A 7FDAF2 3E449D 7CD795 000FFF 00 107151,2026-07-27T22:42:55.093+00:00,serial_request_midpoint,357.2169,True,matched,35.04615,35.04615,2026-07-27T22:42:55.128+00:00,1.176871,1785192175067.102,38,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.07214142377842345,10.176982363456847,9.408213926266516,76.45053190931445,0.2094039720115857,0.002751038542577282,-3.0339648658447826,0.0,0.0,1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:55.827+00:00,3.400000,107759.000000,1.220382,4095,0,02,00,FFFFFFFF,32,2.93509482,3.05047417,2.20463262,1.35142609,1.10118687,0.48061217,2.20467467,1.19099780,1.04586443,1.49778142,2.20722758,0.88916627,1.00886124,0.95847724,2.20756335,0.63919753,1.98345250,0.97746714,2.20748599,1.00455047,0.76633609,0.81050377,2.20755125,1.17490288,1.81877600,1.36164712,2.20753599,1.14388038,1.06297374,0.80819009,2.20514201,0.71030552,SD 02 00 FFFFFFFF 9209F9 947365 7FD829 61246D 552305 2DBA68 7FD879 59A619 523BCA 6769AD 7FEB6F 49729B 503C69 4D70E8 7FEDED 396E8B 7915BD 4E813D 7FED5A 500012 41E9F8 44B189 7FEDD6 58DB9B 7391FC 6198CE 7FEDB9 574FD3 532454 448CC7 7FDBF2 3E4450 7CF795 000FFF 00 107156,2026-07-27T22:42:55.649+00:00,serial_request_midpoint,356.1574,True,matched,61.7255,61.7255,2026-07-27T22:42:55.711+00:00,1.760417,1785192175664.689,56,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.07379500858235302,10.179108390144679,9.405981395626348,76.47238912017067,0.2062225171174144,0.003652047239564736,-3.034399086824983,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:56.385+00:00,4.600000,107760.200000,1.218551,4095,0,02,00,FFFFFFFF,32,2.93511125,3.05040924,2.20471725,1.35140044,1.10120431,0.48063013,2.20465890,1.19102213,1.04588015,1.49779699,2.20441345,0.88915125,1.00883581,0.95848076,2.20435721,0.63920847,1.98348380,0.97744714,2.20691344,1.00457416,0.76635497,0.81050746,2.20533181,1.17487600,1.81878694,1.36173038,2.20713181,1.14390678,1.06300061,0.80818518,2.20730863,0.71030644,SD 02 00 FFFFFFFF 920A10 94730E 7FD8CA 612422 552340 2DBAC4 7FD85B 59A667 523C01 6769D7 7FD688 497261 503C0E 4D70F5 7FD61D 396EBD 7915FF 4E80F4 7FE91A 500067 41EA47 44B198 7FDD5B 58DB44 739215 6199C0 7FEAB9 57502A 5324B1 448CB3 7FEC09 3E4454 7CC795 000FFF 00 107162,2026-07-27T22:42:56.206+00:00,serial_request_midpoint,357.1059,True,matched,-12.02645,12.02645,2026-07-27T22:42:56.194+00:00,2.243473,1785192176131.453,70,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.1013860556848242,10.1837945896132,9.415292767005504,76.50360708172552,0.20898166713315364,0.0004169219317185952,-3.0335584179565034,0.0,-1.4210854715202005e-15,1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:56.943+00:00,5.100000,107760.700000,1.217941,4095,0,02,00,FFFFFFFF,32,2.93519335,3.05036446,2.20510731,1.35137273,1.10117681,0.48064653,2.20520037,1.19103086,1.04590331,1.49782851,2.20490544,0.88917689,1.00885872,0.95849971,2.20706603,0.63919315,1.98340839,0.97744139,2.20514779,1.00462600,0.76633944,0.81050550,2.20499060,1.17488898,1.81886880,1.36173830,2.20713023,1.14388463,1.06294225,0.80817265,2.20803552,0.71029954,SD 02 00 FFFFFFFF 920A83 9472D2 7FDBB0 6123D1 5522E3 2DBB18 7FDC61 59A683 523C52 676A2C 7FDA30 4972C4 503C60 4D713B 7FEA3C 396E77 791560 4E80DF 7FDBFD 500121 41EA06 44B190 7FDAD2 58DB6E 7392D0 6199D7 7FEAB6 574FE1 5323E7 448C80 7FF16E 3E4436 7CB795 000FFF 00 107167,2026-07-27T22:42:56.764+00:00,serial_request_midpoint,358.0252,True,matched,38.129,38.129,2026-07-27T22:42:56.802+00:00,2.85136,1785192176730.703,88,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.06825043173308354,10.167849063869498,9.40099048019922,76.37814588499405,0.2156847501693451,0.008423928795153782,-3.0343377099562403,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:57.499+00:00,6.300000,107761.900000,1.217330,4095,0,02,00,FFFFFFFF,32,2.93514123,3.05037417,2.20748546,1.35140523,1.10117090,0.48062701,2.20795655,1.19103118,1.04593619,1.49780960,2.20502898,0.88918026,1.00882798,0.95847290,2.20719812,0.63919008,1.98342879,0.97747290,2.20515305,1.00455772,0.76634995,0.81051386,2.20503108,1.17489948,1.81889244,1.36167981,2.20720075,1.14388766,1.06297634,0.80816946,2.20777653,0.71030138,SD 02 00 FFFFFFFF 920A3A 9472DF 7FED59 612430 5522CF 2DBAB4 7FF0D8 59A684 523CC5 6769F9 7FDB1B 4972D1 503BF2 4D70D8 7FEB37 396E69 79158B 4E8152 7FDC07 50002C 41EA32 44B1B2 7FDB1F 58DB90 739306 61992D 7FEB3C 574FEB 53245D 448C73 7FEF82 3E443E 7CA795 000FFF 00 107173,2026-07-27T22:42:57.322+00:00,serial_request_midpoint,355.7968,True,matched,48.3036,48.3036,2026-07-27T22:42:57.370+00:00,3.41883,1785192177295.505,105,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.019703049820134273,10.173716141600005,9.40774316600961,76.46878217817417,0.20623612151599144,0.0057240064427769265,-3.0342592232753955,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:58.056+00:00,6.900000,107762.500000,1.214889,4095,0,02,00,FFFFFFFF,32,2.93506769,3.05041447,2.20733442,1.35133065,1.10118302,0.48063248,2.20813028,1.19103430,1.04593619,1.49781220,2.20544697,0.88917430,1.00885285,0.95849132,2.20450910,0.63917957,1.98338610,0.97745289,2.20463840,1.00454127,0.76634374,0.81050180,2.20482396,1.17486457,1.81884297,1.36168978,2.20470358,1.14389009,1.06293705,0.80817584,2.20709234,0.71030690,SD 02 00 FFFFFFFF 9209D3 947315 7FEC3A 612356 5522F8 2DBAD0 7FF222 59A68E 523CC5 676A00 7FDE36 4972BA 503C4B 4D711C 7FD73E 396E39 791531 4E8109 7FD834 4FFFF1 41EA18 44B181 7FD995 58DB1F 739295 61994A 7FD8B0 574FF3 5323D5 448C8D 7FEA6E 3E4456 7C6795 000FFF 00 107179,2026-07-27T22:42:57.878+00:00,serial_request_midpoint,356.2789,True,matched,30.37265,30.37265,2026-07-27T22:42:57.909+00:00,3.957458,1785192177827.037,121,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.049341852103240096,10.171701211958913,9.405486404941739,76.43929995545666,0.2040100927681079,0.009638641709109032,-3.034965329531075,2.842170943040401e-15,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:58.614+00:00,8.000000,107763.600000,1.218551,4095,0,02,00,FFFFFFFF,32,2.93511910,3.05050328,2.20718706,1.35135084,1.10117445,0.48062447,2.20790707,1.19102650,1.04590360,1.49780849,2.20789917,0.88917404,1.00881457,0.95849673,2.20750335,0.63920037,1.98346009,0.97745207,2.20515463,1.00454100,0.76634947,0.81051214,2.20512308,1.17489732,1.81869414,1.36173795,2.20702394,1.14391679,1.06300263,0.80818764,2.20782390,0.71030207,SD 02 00 FFFFFFFF 920A1B 94738C 7FEB22 612391 5522DB 2DBAA7 7FF07A 59A675 523C53 6769F6 7FF06B 4972B9 503BC2 4D7130 7FED7B 396E98 7915CD 4E8106 7FDC0A 4FFFF0 41EA30 44B1AB 7FDBCE 58DB89 739141 6199D6 7FE9EC 57504B 5324B8 448CBD 7FEFDC 3E4441 7CC795 000FFF 00 107184,2026-07-27T22:42:58.436+00:00,serial_request_midpoint,357.8527,True,matched,89.23985,89.23985,2026-07-27T22:42:58.525+00:00,4.573986,1785192178460.518,140,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.032400149606605116,10.170912999786069,9.396642011813421,76.48097550554584,0.2098071947070426,-0.0024022973542568667,-3.0335736845234638,2.842170943040401e-15,0.0,-1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:59.171+00:00,9.200000,107764.800000,1.217941,4095,1,02,80,FFFFFFFF,32,2.93513338,3.05037417,2.20790654,1.35139839,1.10118450,0.48062798,2.20855254,1.19102057,1.04590531,1.49778810,2.20852621,0.88916368,1.00881904,0.95849700,2.20896171,0.63920059,1.98347479,0.97745180,2.20768231,1.00455549,0.76633609,0.81050919,2.20292500,1.17488156,1.81876111,1.36175068,2.20386744,1.14384367,1.06291942,0.80815619,2.20470148,0.71028275,SD 02 80 FFFFFFFF 920A2F 9472DF 7FF079 61241C 5522FD 2DBAB9 7FF544 59A662 523C59 6769BF 7FF512 497291 503BD2 4D7131 7FF84D 396E99 7915EC 4E8105 7FEECF 500024 41E9F8 44B19F 7FCB77 58DB56 7391DA 6199FB 7FD279 574F5A 532398 448C3D 7FD8AC 3E43ED 7CB795 000FFF 01 107190,2026-07-27T22:42:58.993+00:00,serial_request_midpoint,355.5814,True,matched,66.1615,66.1615,2026-07-27T22:42:59.058+00:00,5.107933,1785192178993.922,156,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.03824638603985345,10.158571638586645,9.392084364552911,76.5130390398221,0.20432534147862352,-0.009172070967429766,-3.0336244595546793,-2.842170943040401e-15,1.4210854715202005e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:42:59.727+00:00,9.700000,107765.300000,1.219772,4095,1,02,80,FFFFFFFF,32,2.93439167,3.04993761,2.20462158,1.35113876,1.10108988,0.48062662,2.20509680,1.19093291,1.04571319,1.49781479,2.20457217,0.88910876,1.00874946,0.95843283,2.20474879,0.63916928,1.98316653,0.97736960,2.20465838,1.00429632,0.76626490,0.81036500,2.20734599,1.17437239,1.81862060,1.36073596,2.20747335,1.14347087,1.06254331,0.80811197,2.20724442,0.71008266,SD 02 80 FFFFFFFF 920620 947096 7FD814 612125 5521BD 2DBAB2 7FDB9C 59A549 5239B9 676A07 7FD7B6 4971BD 503AD9 4D7044 7FD906 396E0A 791362 4E7FD9 7FD85A 4FFC82 41E8CE 44AF55 7FEC50 58D4E6 739099 618E75 7FED42 574A8D 531E82 448B89 7FEB8F 3E4087 7CE795 000FFF 01 107195,2026-07-27T22:42:59.549+00:00,serial_request_midpoint,356.5725,True,matched,40.81235,40.81235,2026-07-27T22:42:59.590+00:00,5.638829,1785192179527.279,172,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.08634755491655675,10.130008294508775,9.375229641294585,76.39940841635735,0.2150589249850039,-0.0012470811179083224,-3.0354816031761334,0.0,0.0,1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:43:00.283+00:00,10.900000,107766.500000,1.217941,4095,1,02,80,FFFFFFFF,32,2.93073123,3.04645447,2.20730073,1.34938398,1.10099851,0.48064614,2.20760704,1.19072984,1.04510867,1.49779959,2.20759388,0.88884120,1.00854969,0.95821137,2.20793497,0.63912046,1.98272461,0.97710959,2.20751388,1.00391099,0.76611941,0.81022870,2.20796024,1.17398752,1.81840043,1.35975927,2.20523823,1.14298050,1.06201655,0.80810853,2.20477717,0.70995986,SD 02 80 FFFFFFFF 91F214 945E57 7FEBFA 610D18 552088 2DBB16 7FEE40 59A2BE 523176 6769DE 7FEE27 496DB4 50380E 4D6D12 7FF0AF 396D2B 790FBE 4E7C24 7FED8F 4FF71B 41E66D 44AD2B 7FF0DF 58D008 738EA2 61835C 7FDCA9 57443C 531762 448B7B 7FD93C 3E3E71 7CB795 000FFF 01 1071A1,2026-07-27T22:43:00.105+00:00,serial_request_midpoint,355.8743,True,matched,12.12005,12.12005,2026-07-27T22:43:00.118+00:00,6.166798,1785192180060.689,188,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.14897492020616918,10.144715058572018,9.385088428801682,76.50812959707599,0.2080017964492181,-0.003926508253113037,-3.0361993838577024,2.842170943040401e-15,-1.4210854715202005e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:43:00.840+00:00,11.400000,107767.000000,1.219161,4095,1,02,80,FFFFFFFF,32,2.92891008,3.04481330,2.20678664,1.34828646,1.10085009,0.48062584,2.20495696,1.19053834,1.04475635,1.49778476,2.20702236,0.88866691,1.00831893,0.95806032,2.20761599,0.63905719,1.98228705,0.97691235,2.20744546,1.00363633,0.76603580,0.81010619,2.20755914,1.17382291,1.81826476,1.35911909,2.20762441,1.14264033,1.06152200,0.80805964,2.20777442,0.70985638,SD 02 80 FFFFFFFF 91E818 9455BC 7FE829 61008B 551E92 2DBAAE 7FDA92 59A058 522CA5 6769B6 7FE9E9 496B13 5034D4 4D6AE4 7FEE51 396C0A 790C23 4E7954 7FED0D 4FF341 41E50F 44AB39 7FEDE5 58CDF3 738D6C 617C15 7FEE61 573FDA 5310B1 448AB4 7FEF7E 3E3CAF 7CD795 000FFF 01 1071A6,2026-07-27T22:43:00.662+00:00,serial_request_midpoint,356.8641,True,matched,58.36945,58.36945,2026-07-27T22:43:00.721+00:00,6.769585,1785192180660.807,206,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.07557673408156484,10.13074487330699,9.374247228412159,76.39211448563157,0.2165517283646498,0.0032362656900682416,-3.0337426922723316,0.0,0.0,-1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-27T22:43:01.398+00:00,12.600000,107768.200000,1.219772,4095,1,02,80,FFFFFFFF,32,2.92845927,3.04425704,2.20737020,1.34771252,1.10074189,0.48063208,2.20796287,1.19043885,1.04455808,1.49777401,2.20769810,0.88855064,1.00820384,0.95796937,2.20791444,0.63903179,1.98202352,0.97672555,2.20772231,1.00341269,0.76596749,0.81006437,2.20734441,1.17368333,1.81826607,1.35865156,2.20768546,1.14234600,1.06118459,0.80800707,2.20805500,0.70977614,SD 02 80 FFFFFFFF 91E59F 9452D1 7FEC7E 60F9FA 551D24 2DBACE 7FF0E4 599F19 5229EF 676999 7FEEED 496952 503338 4D6994 7FF088 396B96 7909F7 4E76AA 7FEF1B 4FF01E 41E3F1 44AA8F 7FEC4D 58CC2F 738D6F 6176C4 7FEED5 573C0F 530C20 4489DE 7FF193 3E3B52 7CE795 000FFF 01 1071B2,2026-07-27T22:43:01.219+00:00,serial_request_midpoint,357.0469,True,matched,19.63705,19.63705,2026-07-27T22:43:01.239+00:00,7.287977,1785192181160.805,221,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.5740798469768587,-20.147456040026135,17.46264095196417,54.42393687175739,0.10326691779152528,0.05995060479538602,-2.680502885394918,32.05675985617754,-11.065522142720582,-17.787785440630625,-0.06585453895941426,-0.057411281909898755,0.35579529291118633,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.051308432611414184,10.13531643733987,9.385215848737799,76.42838729514764,0.20780801990654355,0.008090407978183568,-3.03552228487267,0.0,-1.4210854715202005e-15,0.0,0.0,0.0,0.0,True,2,0.5740798469767121,-20.656293123860898,17.102774348526815,59.43914387377134,-2.9829973461959605,-0.6831247170757885,-0.13975763043429312,31.910603855363,-10.750461280791948,-12.745950903489268,-0.5317385093869837,3.0526335750490166,-0.15299165153024677,True,-5.775000775926029,-14.6663305187413,65.34189143062699,19.55633507124461,22.343494341812864,-8.53483955481065
